hpid,dutyName,dutyAddr,dutyTel3,wgs84Lat,wgs84Lon,hperyn,hpopyn
A1300081,(재)미리내천주성삼성직수도회천주성삼병원,"대구광역시 수성구 달구벌대로 3190 (신매동, 천주성삼병원)",053-790-0555,35.84022544517349,128.70573339664242,10,4
A1300018,강남병원,"대구광역시 동구 동촌로 207, 강남병원 (방촌동)",053-980-9019,35.88300855242191,128.66345602650745,10,4
A1300002,경북대학교병원,"대구광역시 중구 동덕로 130 (삼덕동2가, 경북대학교병원)",053-200-5100,35.866235497221616,128.60431466100363,22,16
A1300003,계명대학교동산병원,대구광역시 달서구 달구벌대로 1035 (신당동),053-258-6301,35.85388728949212,128.48012966656532,28,24
A1300008,곽병원,대구광역시 중구 국채보상로 531 (수동),053-605-3333,35.870693147975665,128.58872807724623,10,4
A1300038,나사렛종합병원,"대구광역시 달서구 월배로 97, 나사렛병원 (진천동)",053-643-3119,35.8147002604042,128.525094795643,11,5
A1300004,대구가톨릭대학교병원,대구광역시 남구 두류공원로17길 33 (대명동),053-650-3025,35.843065593522674,128.56742621424615,24,18
A1300005,대구가톨릭대학교칠곡가톨릭병원,대구광역시 북구 칠곡중앙대로 440 (읍내동),053-320-2111,35.934879518784534,128.54925198548904,10,3
A1300076,대구굿모닝병원,대구광역시 남구 성당로 224 (대명동),053-620-9119,35.85296709243215,128.5740666762668,7,2
A1300007,대구의료원,대구광역시 서구 평리로 157 (중리동),053-560-7288,35.859623434747526,128.5405609266984,10,4
A1300009,대구파티마병원,대구광역시 동구 아양로 99 (신암동),053-940-7119,35.88393360650045,128.62383509209542,28,13
A1300110,더블유병원,대구광역시 달서구 달구벌대로 1632 (감삼동),053-550-5019,35.85264247289801,128.54496871658273,10,8
A1300034,드림종합병원,대구광역시 남구 대명로 153 (대명동),053-640-8575,35.8396345121582,128.5743546304414,10,3
A1300045,삼일병원,"대구광역시 달서구 월배로 436, 지하1,지상1~11층 (송현동)",053-659-3119,35.8327479530047,128.5538551132049,10,2
A1300001,영남대학교병원,대구광역시 남구 현충로 170 (대명동),053-620-3177,35.84750592025217,128.58513118547506,30,19
A1300006,의료법인구의료재단구병원,대구광역시 달서구 감삼북길 141 (감삼동),053-557-7119,35.85082313699737,128.54148303217696,11,8
A1300010,칠곡경북대학교병원,"대구광역시 북구 호국로 807, 칠곡경북대학교병원(임상실습동 1~11층 포함) (학정동)",053-200-2100,35.9560830613237,128.564408469835,17,13
A1300011,한국보훈복지의료공단대구보훈병원,대구광역시 달서구 월곡로 60 (도원동),053-630-7014,35.80313747018647,128.55164640976287,14,6
